PRODUTOS,CARACTERISTICAS
52-05-1567-0200,{COMPRIMENTO: LONGA; MODELAGEM: AJUSTADA; COMPRIMENTO_MANGA: LONGA; TIPO_MANGA: REGULAR; DECOTE_OU_GOLA: V; AMARRACAO: N/A; COR_PREDOMINANTE: AZUL; LOCALIZACAO_ESTAMPA: N/A; ZOOM_ESTAMPA: N/A; ESTAMPA: SEM_ESTAMPA; ESTILO: BASICO;}
52-05-1586-0201,{COMPRIMENTO: MEDIA; MODELAGEM: SOLTA; COMPRIMENTO_MANGA: LONGA; TIPO_MANGA: REGULAR; DECOTE_OU_GOLA: POLO; AMARRACAO: N/A; COR_PREDOMINANTE: AZUL; LOCALIZACAO_ESTAMPA: N/A; ZOOM_ESTAMPA: N/A; ESTAMPA: SEM_ESTAMPA; ESTILO: CASUAL;}
52-05-1585-0002,{COMPRIMENTO: LONGA;MODELAGEM: AJUSTADA;COMPRIMENTO_MANGA: LONGA;TIPO_MANGA: REGULAR;DECOTE_OU_GOLA: V;AMARRACAO: N/A;COR_PREDOMINANTE: BRANCO;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: BASICO;}
52-05-1554-0200,{COMPRIMENTO: LONGA;MODELAGEM: AJUSTADA;COMPRIMENTO_MANGA: COMPRIDA;TIPO_MANGA: REGULAR;DECOTE_OU_GOLA: GOLA_ALTA;AMARRACAO: N/A;COR_PREDOMINANTE: AZUL;LOCALIZACAO_ESTAMPA: ROUPA_INTEIRA;ZOOM_ESTAMPA: MEDIO;ESTAMPA: LISTRADO_VERTICAL;ESTILO: CASUAL;}
03-06-0340-09254,{COMPRIMENTO: LONGA; MODELAGEM: SOLTA; COMPRIMENTO_MANGA: COMPRIDA; TIPO_MANGA: REGULAR; DECOTE_OU_GOLA: V; AMARRACAO: N/A; COR_PREDOMINANTE: VERDE; LOCALIZACAO_ESTAMPA: N/A; ZOOM_ESTAMPA: N/A; ESTAMPA: LISTRADO_VERTICAL; ESTILO: CASUAL;}
52-05-1544-0002,{COMPRIMENTO: CROPPED;MODELAGEM: AJUSTADA;COMPRIMENTO_MANGA: LONGA;TIPO_MANGA: REGULAR;DECOTE_OU_GOLA: QUADRADA;AMARRACAO: N/A;COR_PREDOMINANTE: BRANCO;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
52-05-1575-0105,{COMPRIMENTO: CURTA;MODELAGEM: AJUSTADA;COMPRIMENTO_MANGA: CURTA;TIPO_MANGA: REGULAR;DECOTE_OU_GOLA: REDONDA;AMARRACAO: N/A;COR_PREDOMINANTE: AZUL;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
52-05-1517-1974,{COMPRIMENTO: LONGA; MODELAGEM: SOLTA; COMPRIMENTO_MANGA: COMPRIDA; TIPO_MANGA: REGULAR; DECOTE_OU_GOLA: V; AMARRACAO: N/A; COR_PREDOMINANTE: AZUL; LOCALIZACAO_ESTAMPA: ROUPA_INTEIRA; ZOOM_ESTAMPA: N/A; ESTAMPA: FLORAL; ESTILO: CASUAL;}
52-05-1515-6262,{COMPRIMENTO: MEDIA;MODELAGEM: SOLTA;COMPRIMENTO_MANGA: COMPRIDA;TIPO_MANGA: REGULAR;DECOTE_OU_GOLA: TRANSPASSADO;AMARRACAO: N/A;COR_PREDOMINANTE: AMARELO;LOCALIZACAO_ESTAMPA: ROUPA_INTEIRA;ZOOM_ESTAMPA: MEDIO;ESTAMPA: POA;ESTILO: CASUAL;}
52-05-1426-0002,{COMPRIMENTO: LONGA;MODELAGEM: AJUSTADA;COMPRIMENTO_MANGA: COMPRIDA;TIPO_MANGA: REGULAR;DECOTE_OU_GOLA: POLO;AMARRACAO: N/A;COR_PREDOMINANTE: BRANCO;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: BASICO;}
52-05-1629-0003,{COMPRIMENTO: LONGA;MODELAGEM: SOLTA;COMPRIMENTO_MANGA: LONGA;TIPO_MANGA: REGULAR;DECOTE_OU_GOLA: REDONDA;AMARRACAO: N/A;COR_PREDOMINANTE: BRANCO;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
52-05-1509-0024,{COMPRIMENTO: LONGA;MODELAGEM: SOLTA;COMPRIMENTO_MANGA: COMPRIDA;TIPO_MANGA: REGULAR;DECOTE_OU_GOLA: V;AMARRACAO: N/A;COR_PREDOMINANTE: BRANCO;LOCALIZACAO_ESTAMPA: ROUPA_INTEIRA;ZOOM_ESTAMPA: MEDIO;ESTAMPA: LISTRADO_VERTICAL;ESTILO: CASUAL;}
52-05-1639-2030,{COMPRIMENTO: LONGA; MODELAGEM: SOLTA; COMPRIMENTO_MANGA: LONGA; TIPO_MANGA: REGULAR; DECOTE_OU_GOLA: REDONDA; AMARRACAO: N/A; COR_PREDOMINANTE: BEGE; LOCALIZACAO_ESTAMPA: N/A; ZOOM_ESTAMPA: N/A; ESTAMPA: SEM_ESTAMPA; ESTILO: BASICO;}
52-05-1628-0003,{COMPRIMENTO: MEDIA;MODELAGEM: SOLTA;COMPRIMENTO_MANGA: LONGA;TIPO_MANGA: REGULAR;DECOTE_OU_GOLA: V;AMARRACAO: N/A;COR_PREDOMINANTE: BRANCO;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: BASICO;}
52-05-1550-03344,{COMPRIMENTO: CURTA;MODELAGEM: SOLTA;COMPRIMENTO_MANGA: CURTA;TIPO_MANGA: REGULAR;DECOTE_OU_GOLA: COLARINHO;AMARRACAO: N/A;COR_PREDOMINANTE: VERDE;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
52-05-1642-04331,{COMPRIMENTO: LONGA;MODELAGEM: SOLTA;COMPRIMENTO_MANGA: COMPRIDA;TIPO_MANGA: REGULAR;DECOTE_OU_GOLA: MANDARIM;AMARRACAO: N/A;COR_PREDOMINANTE: AZUL;LOCALIZACAO_ESTAMPA: ROUPA_INTEIRA;ZOOM_ESTAMPA: MEDIO;ESTAMPA: LISTRADO_VERTICAL;ESTILO: CASUAL;}
52-05-1382-0003,{COMPRIMENTO: CROPPED;MODELAGEM: SOLTA;COMPRIMENTO_MANGA: CURTA;TIPO_MANGA: REGULAR;DECOTE_OU_GOLA: REDONDA;AMARRACAO: N/A;COR_PREDOMINANTE: BRANCO;LOCALIZACAO_ESTAMPA: ROUPA_INTEIRA;ZOOM_ESTAMPA: MEDIO;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
52-06-0723-04331,{COMPRIMENTO: CURTA;MODELAGEM: SOLTA;COMPRIMENTO_MANGA: CURTA;TIPO_MANGA: REGULAR;DECOTE_OU_GOLA: REDONDA;AMARRACAO: N/A;COR_PREDOMINANTE: AZUL;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: BASICO;}
52-06-0724-0024,{COMPRIMENTO: CURTA;MODELAGEM: AJUSTADA;COMPRIMENTO_MANGA: CURTA;TIPO_MANGA: REGULAR;DECOTE_OU_GOLA: REDONDA;AMARRACAO: N/A;COR_PREDOMINANTE: BRANCO;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: BASICO;}
52-06-0644-09257,{COMPRIMENTO: CURTA;MODELAGEM: AJUSTADA;COMPRIMENTO_MANGA: SEM_MANGA;TIPO_MANGA: N/A;DECOTE_OU_GOLA: REDONDA;AMARRACAO: N/A;COR_PREDOMINANTE: BRANCO;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: SOCIAL;}
52-05-1396-0005,{COMPRIMENTO: CURTA; MODELAGEM: AJUSTADA; COMPRIMENTO_MANGA: CURTA; TIPO_MANGA: REGULAR; DECOTE_OU_GOLA: OMBRO_A_OMBRO; AMARRACAO: SIM_NA_LATERAL; COR_PREDOMINANTE: PRETO; LOCALIZACAO_ESTAMPA: N/A; ZOOM_ESTAMPA: N/A; ESTAMPA: SEM_ESTAMPA; ESTILO: CASUAL;}
52-13-5319-09738,{COMPRIMENTO: CURTA;MODELAGEM: SOLTA;COMPRIMENTO_MANGA: COMPRIDA;TIPO_MANGA: FLARE;DECOTE_OU_GOLA: V;AMARRACAO: N/A;COR_PREDOMINANTE: BEGE;LOCALIZACAO_ESTAMPA: ROUPA_INTEIRA;ZOOM_ESTAMPA: MEDIO;ESTAMPA: FLORAL;ESTILO: CASUAL;}
52-13-5318-09656,{COMPRIMENTO: CURTA;MODELAGEM: SOLTA;COMPRIMENTO_MANGA: CURTA;TIPO_MANGA: FLUTTER;DECOTE_OU_GOLA: REDONDA;AMARRACAO: N/A;COR_PREDOMINANTE: BEGE;LOCALIZACAO_ESTAMPA: ROUPA_INTEIRA;ZOOM_ESTAMPA: MEDIO;ESTAMPA: FLORAL;ESTILO: CASUAL;}
52-13-5512-09628,{COMPRIMENTO: CURTA;MODELAGEM: SOLTA;COMPRIMENTO_MANGA: CURTA;TIPO_MANGA: FLUTTER;DECOTE_OU_GOLA: REDONDA;AMARRACAO: N/A;COR_PREDOMINANTE: AZUL;LOCALIZACAO_ESTAMPA: ROUPA_INTEIRA;ZOOM_ESTAMPA: MEDIO;ESTAMPA: ABSTRATO;ESTILO: CASUAL;}
52-13-5497-09744,{COMPRIMENTO: CURTA; MODELAGEM: SOLTA; COMPRIMENTO_MANGA: LONGA; TIPO_MANGA: BUFANTE; DECOTE_OU_GOLA: V; AMARRACAO: N/A; COR_PREDOMINANTE: ROSA; LOCALIZACAO_ESTAMPA: ROUPA_INTEIRA; ZOOM_ESTAMPA: MEDIO; ESTAMPA: ANIMALPRINT_ONCA; ESTILO: CASUAL;}
52-13-5429-09050,{COMPRIMENTO: CURTA;MODELAGEM: SOLTA;COMPRIMENTO_MANGA: COMPRIDA;TIPO_MANGA: REGULAR;DECOTE_OU_GOLA: V;AMARRACAO: N/A;COR_PREDOMINANTE: ROSA;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
52-13-5421-0005,{COMPRIMENTO: CURTA;MODELAGEM: SOLTA;COMPRIMENTO_MANGA: SEM_MANGA;TIPO_MANGA: FLUTTER;DECOTE_OU_GOLA: REDONDA;AMARRACAO: N/A;COR_PREDOMINANTE: PRETO;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
52-13-5534-04084,{COMPRIMENTO: CURTA; MODELAGEM: SOLTA; COMPRIMENTO_MANGA: CURTA; TIPO_MANGA: FLUTTER; DECOTE_OU_GOLA: REDONDA; AMARRACAO: N/A; COR_PREDOMINANTE: AZUL; LOCALIZACAO_ESTAMPA: N/A; ZOOM_ESTAMPA: N/A; ESTAMPA: SEM_ESTAMPA; ESTILO: CASUAL;}
52-13-5368-0024,{COMPRIMENTO: CURTA;MODELAGEM: SOLTA;COMPRIMENTO_MANGA: CURTA;TIPO_MANGA: N/A;DECOTE_OU_GOLA: OMBRO_A_OMBRO;AMARRACAO: N/A;COR_PREDOMINANTE: BRANCO;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
52-13-5426-09633,{COMPRIMENTO: LONGA; MODELAGEM: AJUSTADA; COMPRIMENTO_MANGA: COMPRIDA; TIPO_MANGA: REGULAR; DECOTE_OU_GOLA: REDONDA; AMARRACAO: N/A; COR_PREDOMINANTE: AZUL; LOCALIZACAO_ESTAMPA: ROUPA_INTEIRA; ZOOM_ESTAMPA: MEDIO; ESTAMPA: GEOMETRICO; ESTILO: CASUAL;}
52-13-5352-0024,{COMPRIMENTO: CURTA;MODELAGEM: AJUSTADA;COMPRIMENTO_MANGA: LONGA;TIPO_MANGA: BUFANTE;DECOTE_OU_GOLA: RETO;AMARRACAO: SIM_NA_LATERAL;COR_PREDOMINANTE: BRANCO;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: BASICO;}
52-13-5442-6048,{COMPRIMENTO: CROPPED;MODELAGEM: AJUSTADA;COMPRIMENTO_MANGA: SEM_MANGA;TIPO_MANGA: OMBRO_A_OMBRO;DECOTE_OU_GOLA: TOMARA_QUE_CAIA;AMARRACAO: N/A;COR_PREDOMINANTE: BEGE;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
52-13-5350-0005,{COMPRIMENTO: MEDIA;MODELAGEM: AJUSTADA;COMPRIMENTO_MANGA: COMPRIDA;TIPO_MANGA: REGULAR;DECOTE_OU_GOLA: REDONDA;AMARRACAO: N/A;COR_PREDOMINANTE: PRETO;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: SOCIAL;}
52-13-5171-09041,{COMPRIMENTO: CURTA; MODELAGEM: AJUSTADA; COMPRIMENTO_MANGA: SEM_MANGA; TIPO_MANGA: N/A; DECOTE_OU_GOLA: TOMARA_QUE_CAIA; AMARRACAO: N/A; COR_PREDOMINANTE: BEGE; LOCALIZACAO_ESTAMPA: N/A; ZOOM_ESTAMPA: N/A; ESTAMPA: SEM_ESTAMPA; ESTILO: CASUAL;}
52-13-5530-04504,{COMPRIMENTO: CURTA; MODELAGEM: SOLTA; COMPRIMENTO_MANGA: ALÇA; TIPO_MANGA: N/A; DECOTE_OU_GOLA: REDONDA; AMARRACAO: N/A; COR_PREDOMINANTE: BEGE; LOCALIZACAO_ESTAMPA: N/A; ZOOM_ESTAMPA: N/A; ESTAMPA: SEM_ESTAMPA; ESTILO: CASUAL;}
52-13-5529-09738,{COMPRIMENTO: CURTA;MODELAGEM: SOLTA;COMPRIMENTO_MANGA: ALÇA;TIPO_MANGA: N/A;DECOTE_OU_GOLA: REDONDA;AMARRACAO: N/A;COR_PREDOMINANTE: BEGE;LOCALIZACAO_ESTAMPA: ROUPA_INTEIRA;ZOOM_ESTAMPA: MEDIO;ESTAMPA: FLORAL;ESTILO: CASUAL;}
52-13-5396-09628,{COMPRIMENTO: CURTA;MODELAGEM: AJUSTADA;COMPRIMENTO_MANGA: SEM_MANGA;TIPO_MANGA: N/A;DECOTE_OU_GOLA: HALTER;AMARRACAO: SIM_NA_FRENTE;COR_PREDOMINANTE: AZUL;LOCALIZACAO_ESTAMPA: ROUPA_INTEIRA;ZOOM_ESTAMPA: PEQUENO;ESTAMPA: ABSTRATO;ESTILO: CASUAL;}
52-13-5664-09819,{COMPRIMENTO: CURTA;MODELAGEM: AJUSTADA;COMPRIMENTO_MANGA: SEM_MANGA;TIPO_MANGA: OMBRO_UNICO;DECOTE_OU_GOLA: TOMARA_QUE_CAIA;AMARRACAO: SIM_NA_LATERAL;COR_PREDOMINANTE: BRANCO;LOCALIZACAO_ESTAMPA: ROUPA_INTEIRA;ZOOM_ESTAMPA: PEQUENO;ESTAMPA: POA;ESTILO: FESTIVO;}
52-13-5370-09253,{COMPRIMENTO: LONGA; MODELAGEM: SOLTA; COMPRIMENTO_MANGA: SEM_MANGA; TIPO_MANGA: N/A; DECOTE_OU_GOLA: HALTER; AMARRACAO: N/A; COR_PREDOMINANTE: VERDE; LOCALIZACAO_ESTAMPA: N/A; ZOOM_ESTAMPA: N/A; ESTAMPA: SEM_ESTAMPA; ESTILO: FESTIVO;}
52-13-5398-09249,{COMPRIMENTO: CURTA;MODELAGEM: AJUSTADA;COMPRIMENTO_MANGA: ALÇA;TIPO_MANGA: N/A;DECOTE_OU_GOLA: HALTER;AMARRACAO: SIM_NA_FRENTE;COR_PREDOMINANTE: LARANJA;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
52-13-5430-09556,{COMPRIMENTO: LONGA; MODELAGEM: AJUSTADA; COMPRIMENTO_MANGA: SEM_MANGA; TIPO_MANGA: N/A; DECOTE_OU_GOLA: HALTER; AMARRACAO: SIM_NA_FRENTE; COR_PREDOMINANTE: MULTICOLORIDO; LOCALIZACAO_ESTAMPA: ROUPA_INTEIRA; ZOOM_ESTAMPA: MEDIO; ESTAMPA: LISTRADO_HORIZONTAL; ESTILO: CASUAL;}
52-13-5578-0003,{COMPRIMENTO: LONGA;MODELAGEM: SOLTA;COMPRIMENTO_MANGA: LONGA;TIPO_MANGA: BUFANTE;DECOTE_OU_GOLA: REDONDA;AMARRACAO: N/A;COR_PREDOMINANTE: BRANCO;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: BASICO;}
52-13-5371-09561,{COMPRIMENTO: MEDIA;MODELAGEM: SOLTA;COMPRIMENTO_MANGA: COMPRIDA;TIPO_MANGA: BUFANTE;DECOTE_OU_GOLA: REDONDA;AMARRACAO: N/A;COR_PREDOMINANTE: ROXO;LOCALIZACAO_ESTAMPA: ROUPA_INTEIRA;ZOOM_ESTAMPA: MEDIO;ESTAMPA: FLORAL;ESTILO: CASUAL;}
52-13-5501-04084,{COMPRIMENTO: CROPPED;MODELAGEM: SOLTA;COMPRIMENTO_MANGA: COMPRIDA;TIPO_MANGA: BUFANTE;DECOTE_OU_GOLA: REDONDA;AMARRACAO: N/A;COR_PREDOMINANTE: AZUL;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
52-13-5433-09539,{COMPRIMENTO: CROPPED; MODELAGEM: SOLTA; COMPRIMENTO_MANGA: COMPRIDA; TIPO_MANGA: BUFANTE; DECOTE_OU_GOLA: REDONDA; AMARRACAO: N/A; COR_PREDOMINANTE: VERDE; LOCALIZACAO_ESTAMPA: ROUPA_INTEIRA; ZOOM_ESTAMPA: MEDIO; ESTAMPA: ANIMALPRINT_COBRA; ESTILO: CASUAL;}
52-13-5326-09563,{COMPRIMENTO: CURTA;MODELAGEM: SOLTA;COMPRIMENTO_MANGA: ALÇA;TIPO_MANGA: OMBRO_UNICO;DECOTE_OU_GOLA: REDONDA;AMARRACAO: N/A;COR_PREDOMINANTE: PRETO;LOCALIZACAO_ESTAMPA: ROUPA_INTEIRA;ZOOM_ESTAMPA: PEQUENO;ESTAMPA: POA;ESTILO: CASUAL;}
52-13-5393-09258,{COMPRIMENTO: CURTA;MODELAGEM: SOLTA;COMPRIMENTO_MANGA: ALÇA;TIPO_MANGA: N/A;DECOTE_OU_GOLA: REDONDA;AMARRACAO: N/A;COR_PREDOMINANTE: VERDE;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
52-13-5394-09253,{COMPRIMENTO: CURTA; MODELAGEM: SOLTA; COMPRIMENTO_MANGA: SEM_MANGA; TIPO_MANGA: N/A; DECOTE_OU_GOLA: REDONDA; AMARRACAO: N/A; COR_PREDOMINANTE: VERDE; LOCALIZACAO_ESTAMPA: N/A; ZOOM_ESTAMPA: N/A; ESTAMPA: SEM_ESTAMPA; ESTILO: BASICO;}
52-13-5420-09253,{COMPRIMENTO: CROPPED;MODELAGEM: SOLTA;COMPRIMENTO_MANGA: COMPRIDA;TIPO_MANGA: REGULAR;DECOTE_OU_GOLA: REDONDA;AMARRACAO: N/A;COR_PREDOMINANTE: VERDE;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
52-06-0687-6048,{COMPRIMENTO: CROPPED; MODELAGEM: AJUSTADA; COMPRIMENTO_MANGA: TRES_QUARTOS; TIPO_MANGA: REGULAR; DECOTE_OU_GOLA: REDONDA; AMARRACAO: N/A; COR_PREDOMINANTE: BEGE; LOCALIZACAO_ESTAMPA: N/A; ZOOM_ESTAMPA: N/A; ESTAMPA: SEM_ESTAMPA; ESTILO: BASICO;}
52-13-5402-0003,{COMPRIMENTO: CURTA;MODELAGEM: AJUSTADA;COMPRIMENTO_MANGA: ALÇA;TIPO_MANGA: N/A;DECOTE_OU_GOLA: HALTER;AMARRACAO: N/A;COR_PREDOMINANTE: BRANCO;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: BASICO;}
52-06-0712-0024,{COMPRIMENTO: CURTA;MODELAGEM: AJUSTADA;COMPRIMENTO_MANGA: TRES_QUARTOS;TIPO_MANGA: N/A;DECOTE_OU_GOLA: REDONDA;AMARRACAO: N/A;COR_PREDOMINANTE: BRANCO;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: BASICO;}
52-06-0712-0005,{COMPRIMENTO: CURTA;MODELAGEM: AJUSTADA;COMPRIMENTO_MANGA: MEIA_MANGA;TIPO_MANGA: REGULAR;DECOTE_OU_GOLA: REDONDA;AMARRACAO: N/A;COR_PREDOMINANTE: PRETO;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: BASICO;}
52-06-0688-09258,{COMPRIMENTO: CURTA;MODELAGEM: AJUSTADA;COMPRIMENTO_MANGA: TRES_QUARTOS;TIPO_MANGA: REGULAR;DECOTE_OU_GOLA: REDONDA;AMARRACAO: N/A;COR_PREDOMINANTE: VERDE;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: BASICO;}
52-13-5456-0001,{COMPRIMENTO: LONGA;MODELAGEM: AJUSTADA;COMPRIMENTO_MANGA: COMPRIDA;TIPO_MANGA: N/A;DECOTE_OU_GOLA: V;AMARRACAO: N/A;COR_PREDOMINANTE: BRANCO;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: BASICO;}
52-13-5456-0005,{COMPRIMENTO: CURTA;MODELAGEM: AJUSTADA;COMPRIMENTO_MANGA: COMPRIDA;TIPO_MANGA: REGULAR;DECOTE_OU_GOLA: V;AMARRACAO: N/A;COR_PREDOMINANTE: PRETO;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: BASICO;}
52-13-4885-0002,{COMPRIMENTO: CURTA;MODELAGEM: AJUSTADA;COMPRIMENTO_MANGA: COMPRIDA;TIPO_MANGA: N/A;DECOTE_OU_GOLA: V;AMARRACAO: N/A;COR_PREDOMINANTE: BRANCO;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: BASICO;}
52-13-4885-0005,{COMPRIMENTO: CURTA; MODELAGEM: AJUSTADA; COMPRIMENTO_MANGA: COMPRIDA; TIPO_MANGA: N/A; DECOTE_OU_GOLA: V; AMARRACAO: N/A; COR_PREDOMINANTE: PRETO; LOCALIZACAO_ESTAMPA: N/A; ZOOM_ESTAMPA: N/A; ESTAMPA: SEM_ESTAMPA; ESTILO: BASICO;}
52-13-5446-01011,{COMPRIMENTO: CURTA;MODELAGEM: AJUSTADA;COMPRIMENTO_MANGA: ALÇA;TIPO_MANGA: N/A;DECOTE_OU_GOLA: REDONDA;AMARRACAO: N/A;COR_PREDOMINANTE: AMARELO;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
52-13-5460-09249,{COMPRIMENTO: LONGA;MODELAGEM: AJUSTADA;COMPRIMENTO_MANGA: COMPRIDA;TIPO_MANGA: N/A;DECOTE_OU_GOLA: V;AMARRACAO: N/A;COR_PREDOMINANTE: LARANJA;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: BASICO;}
52-13-5477-0005,{COMPRIMENTO: CURTA;MODELAGEM: AJUSTADA;COMPRIMENTO_MANGA: SEM_MANGA;TIPO_MANGA: N/A;DECOTE_OU_GOLA: TOMARA_QUE_CAIA;AMARRACAO: N/A;COR_PREDOMINANTE: PRETO;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: LISTRADO_OUTRO;ESTILO: FESTIVO;}
52-13-4888-0002,{COMPRIMENTO: CURTA;MODELAGEM: AJUSTADA;COMPRIMENTO_MANGA: COMPRIDA;TIPO_MANGA: REGULAR;DECOTE_OU_GOLA: REDONDA;AMARRACAO: N/A;COR_PREDOMINANTE: BRANCO;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: BASICO;}
52-13-4888-0005,{COMPRIMENTO: CURTA;MODELAGEM: AJUSTADA;COMPRIMENTO_MANGA: COMPRIDA;TIPO_MANGA: REGULAR;DECOTE_OU_GOLA: REDONDA;AMARRACAO: N/A;COR_PREDOMINANTE: PRETO;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: BASICO;}
52-13-4820-0005,{COMPRIMENTO: CURTA;MODELAGEM: AJUSTADA;COMPRIMENTO_MANGA: LONGA;TIPO_MANGA: N/A;DECOTE_OU_GOLA: QUADRADA;AMARRACAO: N/A;COR_PREDOMINANTE: PRETO;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: BASICO;}
52-13-5465-6215,{COMPRIMENTO: CURTA;MODELAGEM: AJUSTADA;COMPRIMENTO_MANGA: COMPRIDA;TIPO_MANGA: N/A;DECOTE_OU_GOLA: REDONDA;AMARRACAO: N/A;COR_PREDOMINANTE: AZUL;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: CASUAL;}
52-13-5619-09280,{COMPRIMENTO: CURTA;MODELAGEM: AJUSTADA;COMPRIMENTO_MANGA: ALÇA;TIPO_MANGA: N/A;DECOTE_OU_GOLA: REDONDA;AMARRACAO: N/A;COR_PREDOMINANTE: BEGE;LOCALIZACAO_ESTAMPA: N/A;ZOOM_ESTAMPA: N/A;ESTAMPA: SEM_ESTAMPA;ESTILO: BASICO;}
52-13-5474-0005,{COMPRIMENTO: CURTA; MODELAGEM: AJUSTADA; COMPRIMENTO_MANGA: MEIA_MANGA; TIPO_MANGA: OMBRO_UNICO; DECOTE_OU_GOLA: RETO; AMARRACAO: N/A; COR_PREDOMINANTE: PRETO; LOCALIZACAO_ESTAMPA: N/A; ZOOM_ESTAMPA: N/A; ESTAMPA: SEM_ESTAMPA; ESTILO: CASUAL;}
